"g171school","g171province","g171sex","g171age","g171f010","g171f074","g171f076","g171f086","g171f101","g171f124","g171g002","eventtime","status","blank_month","X5","X10","X11","X12","X16","X35"
"2","1","1",26,"1",3.9,8,2,"1","2","0",7,1,-1,"2",5,40,0,260,"2"
"2","2","1",29.33333333,"1",2.9,10,1,"1","2","0",18,1,0,"2",5,40,10,180,"2"
"2","4","1",26.58333333,"1",3.4,8,2,"1","1","0",4,1,7,"2",5,40,0,250,"2"
"2","4","1",25.83333333,"1",3.3,8,2,"1","2","0",15,1,-6,"2",5,40,12,200,"2"
"2","4","1",28.66666667,"1",3.5,8,2,"1","1","0",4,1,12,"2",5,50,15,210,"2"
"2","3","1",25.75,"1",3.6,8,2,"1","2","0",6,1,0,"2",6,45,15,210,"2"
"2","4","1",25.83333333,"1",3.4,8,2,"1","2","0",3,1,0,"2",5,45,1,275,"2"
"2","4","2",24.66666667,"1",3.8,8,1,"1","2","1",4,1,3,"2",5,40,0,180,"2"
"2","1","1",26.41666667,"1",3.7,8,1,"1","2","0",3,1,1,"2",5,40,10,100,"1"
"2","2","1",27,"1",3.2,8,1,"1","1","0",19,1,-7,"2",5,40,2,184,"2"
"2","3","1",26.16666667,"1",3.1,8,2,"1","2","0",8,1,8,"2",5,60,8,200,"2"
"2","4","1",25.58333333,"1",3.5,8,2,"1","2","0",8,1,2,"2",5,40,0,200,"2"
"2","4","2",28,"2",3.2,6,1,"1","2","0",16,1,3,"2",5,40,0,190,"2"
"2","4","1",26.91666667,"1",2.7,8,2,"1","2","0",13,1,1,"2",5,40,10,220,"1"
"2","4","1",26,"1",3.1,8,2,"1","2","0",6,1,8,"2",5,40,0,200,"2"
"2","2","1",25.83333333,"1",4,8,2,"1","2","0",13,1,0,"2",5,40,0,350,"2"
"2","2","1",27.16666667,"2",3.7,4,1,"1","1","0",8,1,1,"2",5,40,0,200,"2"
"2","3","1",25.75,"1",3.5,7,2,"1","2","0",6,1,2,"2",5,40,0,200,"1"
"2","3","1",27.33333333,"1",3.8,8,1,"1","2","0",14,1,2,"2",5,40,20,430,"2"
"2","3","1",25.66666667,"1",3.6,8,2,"1","2","0",6,1,1,"2",5,40,12,270,"1"
"2","5","1",27.58333333,"1",4.4,8,2,"1","2","0",17,1,-3,"2",5,40,30,350,"1"
"2","1","1",26.08333333,"1",3.8,8,2,"1","1","0",11,1,-1,"2",5,48,5,250,"2"
"2","4","1",27.33333333,"1",3.7,8,2,"1","1","0",10,1,1,"2",5,40,20,317,"2"
"2","1","1",27.91666667,"2",3.1,5,2,"2","2","0",20,1,-2,"2",5,45,0,300,"2"
"2","3","1",29.58333333,"1",3.6,8,1,"1","2","0",7,1,-2,"2",5,40,5,290,"2"
"2","5","1",26.66666667,"2",3.7,8,2,"2","2","0",12,1,-2,"2",5,40,5,310,"2"
"2","5","1",26.25,"1",2.9,8,2,"1","2","0",5,1,2,"2",5,40,0,200,"1"
"2","2","1",29.58333333,"1",3.8,8,2,"1","2","0",15,1,10,"2",5,40,0,250,"1"
"2","3","2",27.16666667,"1",2.8,8,2,"1","2","0",25,1,-10,"2",5,40,0,200,"2"
"2","1","1",26.91666667,"1",4.1,8,2,"1","1","0",3,1,11,"2",5,40,30,270,"2"
"2","2","2",25,"1",3.6,8,1,"2","1","0",10,1,5,"2",5,40,0,170,"2"
"2","2","1",27.08333333,"1",3,8,2,"1","2","0",3,1,2,"2",5,20,0,70,"2"
"2","2","2",26.16666667,"1",3,8,2,"1","2","0",10,1,5,"2",5,40,0,150,"2"
"2","3","1",30.08333333,"1",3,8,1,"1","1","0",24,1,-1,"2",5,40,6,240,"1"
"2","3","1",29.16666667,"1",3,8,2,"1","2","0",3,1,8,"2",5,45,0,200,"2"
"2","1","2",26.41666667,"1",3.8,8,2,"1","2","0",3,1,3,"2",5,45,0,215,"2"
"2","4","2",24.41666667,"1",3.8,8,2,"2","2","0",8,1,3,"2",5,40,0,157,"2"
"2","4","1",27.5,"1",3.3,8,2,"1","2","0",24,1,-6,"2",5,40,10,230,"2"
"2","4","2",25.16666667,"1",3.9,8,2,"2","1","0",13,1,3,"2",5,40,0,150,"2"
"2","3","2",24.16666667,"1",3.9,8,2,"2","2","0",13,1,0,"2",5,40,3,190,"2"
"2","1","1",29.66666667,"2",2.8,8,2,"1","2","0",5,1,10,"2",5,40,0,205,"1"
"2","2","1",27.08333333,"1",4,9,2,"1","1","0",8,1,-4,"2",5,40,14,260,"1"
"2","4","2",25.16666667,"1",3.5,8,2,"1","2","0",6,1,4,"2",5,40,1,200,"2"
"2","2","1",26.66666667,"1",3,8,2,"1","2","0",9,1,2,"2",5.5,72,0,180,"2"
"2","2","1",26.75,"1",3.5,8,2,"1","1","0",22,1,1,"2",5,40,5,210,"2"
"2","4","1",26.91666667,"1",3.9,8,2,"1","2","0",6,1,-1,"2",5,40,20,317,"2"
"2","1","2",27.5,"1",3,12,2,"2","2","0",6,1,2,"2",5,42,0,440,"2"
"2","1","2",32,"2",3.8,6,2,"2","2","0",5,1,1,"1",5,40,20,310,"2"
"2","2","1",44,"2",2.5,5,2,"2","2","0",7,1,8,"1",5,40,0,200,"2"
"2","3","2",25.5,"1",4,8,2,"1","2","0",4,1,5,"1",5,40,8,220,"2"
"2","1","1",28.83333333,"2",3.5,8,2,"2","2","0",4,1,2,"2",5,45,0,410,"2"
"2","4","1",29.58333333,"2",2.5,8,2,"2","2","0",10,1,2,"2",6,48,0,540,"2"
"2","3","1",26,"1",3.8,8,2,"1","2","1",2,1,2,"2",6,48,16,135,"2"
"2","5","1",26.58333333,"1",3,8,2,"1","2","0",8,1,3,"2",5,40,0,190,"2"
"2","3","2",24.5,"1",3.6,8,1,"2","2","0",4,1,5,"2",6,45,0,157,"2"
"2","2","2",25.08333333,"1",2.6,8,2,"2","1","0",28,1,-4,"2",5,45,15,250,"1"
"2","1","2",27.08333333,"1",3.7,8,1,"1","2","0",17,1,-1,"2",6,44,0,166,"2"
"2","5","2",24.16666667,"1",4.2,8,2,"2","2","0",8,1,-2,"2",5,40,10,145,"1"
"2","5","2",25.08333333,"1",3.5,8,1,"2","1","0",9,1,1,"2",6,60,0,160,"2"
"2","1","1",25.91666667,"1",3,8,2,"1","2","0",14,1,3,"2",5,40,24,193,"2"
"2","2","1",25.83333333,"1",4,8,2,"1","2","0",6,1,-3,"2",6,60,0,100,"2"
"2","2","1",27,"1",3.2,8,1,"1","2","0",6,1,-1,"2",5,40,12,170,"1"
"2","1","2",24.91666667,"1",3.8,8,2,"2","2","0",6,1,2,"2",5,40,0,160,"2"
"2","5","1",27,"1",3.8,8,2,"1","2","0",12,1,2,"2",5,46,0,170,"2"
"2","1","1",28,"1",3.2,8,2,"1","2","0",10,1,1,"2",5,40,5,290,"2"
"2","3","2",27,"1",4.2,8,1,"1","2","0",7,1,17,"2",5,40,0,240,"2"
"2","3","2",27.33333333,"1",3.8,8,2,"1","2","0",7,1,5,"2",5,60,0,200,"2"
"2","2","2",27.25,"1",3.3,8,2,"2","1","0",13,1,5,"2",5,40,0,220,"2"
"1","2","1",25,"1",3,4,1,"1","2","0",7,1,0,"2",5,40,20,192,"2"
"1","4","1",33.33333333,"2",4.4,4,1,"2","2","1",17,1,-8,"2",5,40,0,250,"1"
"1","4","1",24.83333333,"1",3.7,4,2,"1","2","0",6,1,4,"2",5,60,10,100,"2"
"1","2","2",26.16666667,"1",4.2,6,2,"2","2","0",3,1,0,"2",5,40,0,110,"2"
"1","2","2",21.75,"1",3,4,2,"2","2","0",7,1,-5,"2",6,45,40,100,"2"
"1","2","2",22.16666667,"1",3.6,4,1,"2","2","0",1,1,2,"2",5.5,44,14,190,"2"
"1","4","1",36.66666667,"1",4.2,4,2,"2","2","0",14,1,1,"2",5,40,0,250,"2"
"1","5","1",24.83333333,"1",3.8,4,2,"1","2","0",5,1,2,"2",6,66,20,240,"2"
"1","4","1",28.75,"1",3.9,6,2,"2","2","0",5,1,1,"2",5,45,9,230,"2"
"1","2","1",27.25,"1",3.7,4,2,"1","2","0",14,1,2,"2",5,40,6,200,"2"
"1","2","1",25,"1",3.2,4,2,"1","2","0",19,1,-7,"2",5,40,20,170,"1"
"1","4","1",25.66666667,"1",3.8,6,2,"1","2","0",9,1,3,"2",5,40,0,250,"2"
"1","5","1",26.58333333,"1",3.1,4,2,"1","2","0",3,1,-1,"2",5,40,3,230,"2"
"1","1","1",24.75,"1",4.4,6,1,"1","2","0",7,1,1,"2",5,40,36,200,"2"
"1","2","1",25.16666667,"1",4.2,6,2,"1","2","0",11,1,5,"2",5,25,3,500,"1"
"1","2","1",23.75,"1",3.2,4,2,"1","2","0",15,1,-2,"2",6,40,20,200,"2"
"1","4","2",22.5,"1",3.2,4,2,"2","2","0",4,1,4,"2",5,40,10,170,"2"
"1","4","1",28.66666667,"2",3,4,2,"2","2","0",9,1,0,"1",6,72,20,250,"2"
"1","4","2",25.33333333,"1",3.8,5,1,"1","2","0",12,1,1,"2",5,40,10,250,"1"
"1","5","1",29.5,"1",4.1,4,2,"2","2","0",9,1,5,"2",5,40,0,260,"2"
"1","2","1",24.58333333,"1",3.5,6,1,"1","2","0",5,1,1,"1",5,40,6,270,"1"
"1","2","2",24.58333333,"1",3.8,8,1,"2","2","0",3,1,2,"1",5,40,1,200,"2"
"1","2","2",22.83333333,"1",3,6,2,"2","2","0",16,1,1,"1",5,40,1,260,"2"
